iter	RMSE
0	15.85545361
1	15.48155528
2	15.1203696
3	14.77419007
4	14.43263917
5	14.113943
6	13.80225228
7	13.50123376
8	13.21187365
9	12.92619297
10	12.63903021
11	12.38194719
12	12.12794
13	11.87431366
14	11.62546344
15	11.39174096
16	11.16969587
17	10.95459435
18	10.7445193
19	10.54064762
20	10.3528278
21	10.16866826
22	9.982823246
23	9.810034407
24	9.636846403
25	9.482731766
26	9.326438505
27	9.174849133
28	9.030106863
29	8.893058942
30	8.761498615
31	8.63082919
32	8.512466813
33	8.391535771
34	8.280746199
35	8.171197611
36	8.066478838
37	7.960973666
38	7.865976314
39	7.770587851
40	7.682219218
41	7.593514356
42	7.508732689
43	7.429813737
44	7.354242568
45	7.283345601
46	7.213470402
47	7.149929183
48	7.08604368
49	7.026840922
50	6.96680087
51	6.909356703
52	6.854133096
53	6.802712657
54	6.751158133
55	6.703397512
56	6.658378163
57	6.614865061
58	6.576514417
59	6.537713821
60	6.501980432
61	6.465061273
62	6.431981167
63	6.39968237
64	6.368305808
65	6.338561984
66	6.308692781
67	6.281485334
68	6.256142801
69	6.231302714
70	6.208416565
71	6.185419633
72	6.162600106
73	6.142159868
74	6.122744747
75	6.105158099
76	6.085993847
77	6.069137453
78	6.052005998
79	6.036096303
80	6.020544813
81	6.005142283
82	5.991564175
83	5.97843139
84	5.966414572
85	5.953534627
86	5.942476641
87	5.930441323
88	5.919221049
89	5.907099666
90	5.896806768
91	5.886574822
92	5.87866919
93	5.869770714
94	5.862701673
95	5.85314231
96	5.84551674
97	5.837703226
98	5.831402295
99	5.824405289
100	5.817423498
101	5.810632899
102	5.804654928
103	5.7973299
104	5.790365116
105	5.783998435
106	5.777796993
107	5.771606336
108	5.76506388
109	5.760175383
110	5.755723755
111	5.75032869
112	5.74543443
113	5.740850016
114	5.736256729
115	5.731232124
116	5.726678621
117	5.721961459
118	5.717655623
119	5.713550613
120	5.709106135
121	5.704983909
122	5.701080374
123	5.697761356
124	5.694668866
125	5.690758395
126	5.687011045
127	5.682580202
128	5.679243214
129	5.675725382
130	5.672664466
131	5.669887775
132	5.666679318
133	5.662961813
134	5.659558458
135	5.657077513
136	5.654382244
137	5.651230973
138	5.647792491
139	5.644828299
140	5.642029822
141	5.639354139
142	5.636282261
143	5.634206637
144	5.632173351
145	5.629817098
146	5.626943763
147	5.624787431
148	5.621927807
149	5.619515056
150	5.616995502
151	5.614106003
152	5.611622735
153	5.609031194
154	5.606903696
155	5.603773937
156	5.60111053
157	5.598202582
158	5.596345644
159	5.594237295
160	5.591669745
161	5.590360159
162	5.588038445
163	5.585212385
164	5.582242841
165	5.579086911
166	5.576165997
167	5.574235645
168	5.571246395
169	5.56985125
170	5.567244632
171	5.565871673
172	5.563707327
173	5.56106846
174	5.559415969
175	5.557522734
176	5.555576546
177	5.554236027
178	5.552167168
179	5.549771512
180	5.54748011
181	5.544873297
182	5.543397371
183	5.542048577
184	5.539915706
185	5.53783386
186	5.53630443
187	5.534470822
188	5.532740046
189	5.530298984
190	5.528714415
191	5.525515641
192	5.522682289
193	5.520729681
194	5.51867341
195	5.516868533
