iter	Passed	Remaining
0	4	4702
1	9	4495
2	13	4368
3	17	4465
4	21	4313
5	25	4257
6	29	4203
7	34	4257
8	38	4239
9	43	4273
10	48	4319
11	52	4335
12	56	4305
13	61	4296
14	64	4259
15	68	4234
16	73	4230
17	76	4198
18	82	4272
19	86	4236
20	90	4227
21	94	4210
22	99	4212
23	102	4182
24	106	4170
25	110	4148
26	115	4153
27	119	4138
28	123	4119
29	127	4117
30	131	4118
31	135	4100
32	139	4101
33	143	4085
34	148	4105
35	152	4093
36	158	4115
37	167	4228
38	172	4240
39	176	4246
40	181	4236
41	185	4221
42	189	4220
43	194	4218
44	197	4200
45	201	4186
46	206	4178
47	211	4191
48	215	4180
49	219	4175
50	223	4159
51	227	4141
52	231	4132
53	235	4119
54	240	4128
55	244	4123
56	249	4122
57	253	4114
58	257	4101
59	261	4101
60	266	4103
61	271	4100
62	275	4096
63	280	4096
64	286	4117
65	290	4117
66	294	4104
67	299	4105
68	303	4094
69	307	4090
70	312	4082
71	316	4082
72	322	4097
73	326	4087
74	331	4082
75	334	4071
76	339	4070
77	343	4065
78	348	4060
79	352	4049
80	356	4046
81	360	4036
82	365	4033
83	369	4029
84	373	4020
85	377	4013
86	381	4007
87	386	4001
88	390	3997
89	395	3994
90	409	4090
91	418	4133
92	428	4183
93	449	4332
94	455	4334
95	458	4320
96	463	4310
97	467	4304
98	473	4309
99	479	4312
100	488	4345
101	494	4356
102	499	4352
103	505	4358
104	515	4391
105	524	4421
106	529	4420
107	535	4423
108	542	4431
109	546	4422
110	551	4417
111	556	4409
112	560	4399
113	565	4391
114	569	4384
115	573	4373
116	578	4363
117	582	4352
118	587	4347
119	591	4340
120	596	4333
121	600	4325
122	605	4314
123	610	4309
124	614	4303
125	619	4295
126	623	4284
127	627	4276
128	632	4271
129	637	4266
130	641	4257
131	645	4243
132	649	4235
133	654	4228
134	658	4219
135	662	4210
136	667	4204
137	671	4196
138	676	4189
139	680	4179
140	684	4167
141	688	4159
142	692	4152
143	697	4147
144	704	4151
145	709	4147
146	713	4141
147	718	4135
148	723	4130
149	727	4124
150	732	4117
151	736	4108
152	740	4099
153	744	4090
154	748	4082
155	753	4076
156	758	4071
157	762	4065
158	767	4061
159	776	4074
160	783	4084
161	788	4079
162	794	4078
163	798	4070
164	802	4062
165	808	4059
166	812	4051
167	816	4043
168	821	4037
169	826	4032
170	831	4030
171	837	4033
172	843	4032
173	848	4027
174	852	4018
175	856	4010
176	861	4006
177	865	3996
178	869	3987
179	874	3981
180	878	3973
181	881	3963
182	885	3954
183	889	3945
184	894	3938
185	897	3929
186	902	3922
187	906	3915
188	910	3907
189	914	3898
190	918	3890
191	922	3881
192	926	3874
193	930	3867
194	934	3859
195	938	3850
196	942	3843
197	946	3834
198	952	3834
199	956	3827
200	960	3819
201	964	3811
202	968	3802
203	972	3796
204	977	3790
205	981	3781
206	985	3775
207	990	3769
208	994	3762
209	998	3754
210	1002	3749
211	1007	3743
212	1011	3736
213	1015	3730
214	1019	3723
215	1024	3719
216	1030	3718
217	1035	3714
218	1040	3709
219	1043	3700
220	1047	3692
221	1050	3683
222	1054	3673
223	1058	3666
224	1061	3657
225	1065	3648
226	1068	3640
227	1072	3631
228	1076	3623
229	1079	3614
230	1083	3606
231	1087	3598
232	1091	3592
233	1094	3583
234	1100	3582
235	1104	3574
236	1107	3565
237	1110	3556
238	1114	3549
239	1118	3540
240	1122	3534
241	1125	3526
242	1129	3519
243	1133	3511
244	1137	3505
245	1141	3498
246	1145	3490
247	1148	3483
248	1152	3476
249	1155	3467
250	1159	3460
251	1163	3452
252	1168	3449
253	1171	3441
254	1175	3433
255	1178	3425
256	1181	3416
257	1185	3410
258	1189	3402
259	1193	3396
260	1196	3388
261	1200	3382
262	1204	3374
263	1207	3367
264	1211	3361
265	1215	3354
266	1218	3346
267	1222	3338
268	1226	3331
269	1229	3324
270	1232	3316
271	1236	3309
